uuid,label_name
14812,Shale
72908,Shale
103104,Shale
23480,Shale
104267,Shale
13388,Shale
16590,Shale
49252,Shale
53019,Shale
1281,Shale
120276,Shale
115412,Shale
35358,Shale
64734,Shale
84310,Shale
32338,Shale
61412,Shale
89859,Shale
56157,Shale
79887,Shale
96391,Shale
62806,Shale
4389,Shale
105573,Shale
6908,Shale
101457,Shale
99271,Shale
55085,Shale
120766,Shale
46557,Shale
56917,Shale
68975,Shale
12781,Shale
15922,Shale
79655,Shale
9153,Shale
7969,Shale
38627,Shale
113657,Shale
36716,Shale
60696,Shale
50175,Shale
107920,Shale
104784,Shale
19121,Shale
22791,Shale
12191,Shale
110135,Shale
16552,Shale
114806,Shale
24834,Shale
28655,Shale
2794,Shale
7619,Shale
74139,Shale
111858,Shale
28137,Shale
29838,Shale
12969,Shale
180,Shale
45625,Shale
83727,Shale
76211,Shale
19261,Shale
35569,Shale
30023,Shale
110412,Shale
78717,Shale
56654,Shale
36060,Shale
65647,Shale
43589,Shale
28656,Shale
86382,Shale
118724,Shale
120255,Shale
100728,Shale
37235,Shale
5861,Shale
102654,Shale
1100,Shale
111175,Shale
17902,Shale
53630,Shale
118810,Shale
18928,Shale
21200,Shale
6505,Shale
69295,Shale
14190,Shale
15069,Shale
86335,Shale
44698,Shale
101261,Shale
36322,Shale
26884,Shale
23605,Shale
29372,Shale
61580,Shale
46696,Shale
1151,Shale
77307,Shale
21474,Shale
104979,Shale
30240,Shale
68885,Shale
41661,Shale
46332,Shale
108798,Shale
59480,Shale
72696,Shale
13935,Shale
121700,Shale
2036,Shale
97365,Shale
91181,Shale
32399,Shale
24259,Shale
23444,Shale
76447,Shale
110242,Shale
35520,Shale
119018,Shale
14708,Shale
77093,Shale
38446,Shale
55302,Shale
110081,Shale
103616,Shale
33241,Shale
18335,Shale
6233,Shale
110519,Shale
109588,Shale
15997,Shale
11407,Shale
58875,Shale
112128,Shale
50513,Shale
99495,Shale
68909,Shale
74337,Shale
68978,Shale
33453,Shale
109767,Shale
79118,Shale
113986,Shale
75844,Shale
83003,Shale
83476,Shale
79877,Shale
55667,Shale
76046,Shale
24179,Shale
89323,Shale
45474,Shale
27964,Shale
93350,Shale
18416,Shale
15322,Shale
25186,Shale
16463,Shale
103712,Shale
5431,Shale
100280,Shale
8464,Shale
15546,Shale
114831,Shale
94220,Shale
95762,Shale
103126,Shale
12190,Shale
101074,Shale
71822,Shale
37091,Shale
19364,Shale
59628,Shale
48662,Shale
38977,Shale
110942,Shale
73411,Shale
56050,Shale
37577,Shale
31637,Shale
38527,Shale
98280,Shale
33535,Shale
23474,Shale
86007,Shale
59039,Shale
66607,Shale
117970,Shale
55348,Shale
58819,Shale
44407,Shale
10288,Shale
71440,Shale
31546,Shale
45000,Shale
105349,Shale
97721,Shale
40610,Shale
